age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,deposit
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,2343,housing_yes,loan_no,contact_unknown,month_may,1042,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,45,housing_no,loan_no,contact_unknown,month_may,1467,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,1270,housing_yes,loan_no,contact_unknown,month_may,1389,1,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,2476,housing_yes,loan_no,contact_unknown,month_may,579,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_tertiary,default_no,184,housing_no,loan_no,contact_unknown,month_may,673,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,0,housing_yes,loan_yes,contact_unknown,month_may,562,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,830,housing_yes,loan_yes,contact_unknown,month_may,1201,1,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_divorced,education_secondary,default_no,545,housing_yes,loan_no,contact_unknown,month_may,1030,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,1,housing_yes,loan_no,contact_unknown,month_may,608,1,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,5090,housing_yes,loan_no,contact_unknown,month_may,1297,3,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,100,housing_yes,loan_no,contact_unknown,month_may,786,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,309,housing_yes,loan_no,contact_unknown,month_may,1574,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,199,housing_yes,loan_yes,contact_unknown,month_may,1689,4,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_tertiary,default_no,460,housing_yes,loan_no,contact_unknown,month_may,1102,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,703,housing_yes,loan_no,contact_unknown,month_may,943,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,3837,housing_yes,loan_no,contact_unknown,month_may,1084,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,611,housing_yes,loan_no,contact_unknown,month_may,541,3,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,-8,housing_yes,loan_no,contact_unknown,month_may,1119,1,-1,0,poutcome_unknown,1
