checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
A11,36,A32,A42,3959,A61,A71,4,A93,A101,3,A122,30,A143,A152,1,A174,1,A192,A201,1
A14,9,A32,A40,3577,A62,A73,1,A93,A103,2,A121,26,A143,A151,1,A173,2,A191,A202,1
A14,18,A32,A42,2515,A61,A73,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,1
A12,12,A34,A40,1995,A62,A72,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,1
A14,60,A32,A40,10366,A61,A75,2,A93,A101,4,A122,42,A143,A152,1,A174,1,A192,A201,1
A14,24,A32,A40,7393,A61,A73,1,A93,A101,4,A122,43,A143,A152,1,A172,2,A191,A201,1
A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1
A14,9,A32,A40,2507,A63,A75,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1
A14,30,A32,A41,4811,A65,A74,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1
A12,48,A32,A40,6560,A62,A74,3,A93,A101,2,A122,24,A143,A152,1,A173,1,A191,A201,2
A12,36,A32,A42,9034,A62,A72,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201,2
A11,24,A31,A42,3552,A61,A74,3,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,2
A12,20,A32,A41,6468,A65,A71,1,A91,A101,4,A121,60,A143,A152,1,A174,1,A192,A201,1
A11,30,A32,A43,2522,A61,A75,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,1
A12,36,A34,A40,2820,A61,A72,4,A91,A101,4,A123,27,A143,A152,2,A173,1,A191,A201,2
A14,6,A31,A40,783,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1
A11,21,A32,A40,3763,A65,A74,2,A93,A102,2,A121,24,A143,A152,1,A172,1,A191,A202,1
A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2
