checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),purpose - others,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,36,existing credits paid back duly till now,education,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,stores,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1478,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1516,.. >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,9,existing credits paid back duly till now,furniture/equipment,2136,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,15,existing credits paid back duly till now,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,18,no credits taken/ all credits paid back duly,business,4165,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,2,skilled employee / official,2,phone - none,foreign - yes,2
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,male : divorced/separated,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,others - none,2,unknown / no property,> 25 years,bank,for free,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,484,... < 100 DM,4 <= ... < 7 years,3,male : married/widowed,guarantor,3,real estate,> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,60,existing credits paid back duly till now,education,6288,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 100 DM,... < 1 year,2,male : divorced/separated,others - none,1,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,9,critical account/ other credits existing (not at this bank),car (new),2134,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,3,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,real estate,<= 25 years,none,rent,1,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,20,existing credits paid back duly till now,furniture/equipment,2212,unknown/ no savings account,4 <= ... < 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,15,existing credits paid back duly till now,car (new),3186,.. >= 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
